longitude,latitude
98.468,-58.368
110.157,-58.368
-107.167,-58.3
-24.9,-58.283
-28.648,-58.27
-173.55,-58.267
-28.652,-58.257
-59.733,-58.217
-17.808,-58.165
-94.817,-58.15
-44.817,-58.15
-79.135,-58.14
-139.93,-58.13
-144.95,-58.083
-109.788,-58.083
117.017,-58.083
-130.355,-58.082
-120.142,-58.058
-24.767,-58.058
-160.15,-58.052
-59.167,-58.05
-27.892,-58.033
-37.9,-58.025
-99.983,-58.017
-41.003,-58.002
-99.317,-58.0
113.955,-57.995
-71.0,-57.983
105.017,-57.953
105.023,-57.94
8.983,-57.922
-74.843,-57.918
-57.0,-57.917
-23.975,-57.883
-63.517,-57.868
-23.983,-57.867
-108.65,-57.833
-124.947,-57.828
-115.208,-57.828
-23.817,-57.8
81.015,-57.782
-90.793,-57.77
100.042,-57.763
80.662,-57.757
80.275,-57.738
-23.358,-57.7
-149.865,-57.617
-55.917,-57.617
126.25,-57.617
-150.028,-57.588
-138.967,-57.575
-51.95,-57.55
-64.867,-57.517
-17.378,-57.513
36.173,-57.488
82.36,-57.488
82.418,-57.483
77.88,-57.442
77.83,-57.428
-104.5,-57.233
113.342,-57.232
8.202,-57.23
113.337,-57.212
8.207,-57.208
-82.782,-57.188
-44.917,-57.183
-58.833,-57.167
-70.017,-57.15
-69.233,-57.15
-2.677,-57.145
-6.683,-57.142
-132.6,-57.133
-109.955,-57.133
-67.967,-57.133
-23.025,-57.133
-119.667,-57.117
-23.0,-57.108
94.952,-57.102
-134.683,-57.1
94.955,-57.095
-27.625,-57.083
114.058,-57.063
-18.54,-57.06
-60.017,-57.05
-59.125,-57.05
-23.572,-57.045
9.248,-57.043
114.018,-57.043
-0.093,-57.038
-63.35,-57.033
-56.533,-57.017
-160.093,-57.015
-89.483,-57.005
-41.018,-57.002
-39.95,-57.0
110.088,-56.972
-78.878,-56.968
-150.183,-56.967
-74.957,-56.955
-99.433,-56.95
-170.233,-56.942
-115.243,-56.903
-135.0,-56.9
-37.633,-56.892
-139.65,-56.883
-170.171,-56.881
74.555,-56.877
81.187,-56.875
-34.433,-56.85
89.74,-56.837
-131.15,-56.667
-56.637,-56.637
-131.033,-56.633
114.115,-56.583
-20.287,-56.578
100.068,-56.555
-99.45,-56.55
114.1,-56.543
-120.133,-56.533
-119.633,-56.533
-24.467,-56.533
-80.56,-56.52
-119.542,-56.517
-57.76,-56.477
-21.98,-56.475
-119.65,-56.458
-110.8,-56.442
-28.137,-56.405
-78.868,-56.388
-16.995,-56.378
51.972,-56.363
-32.747,-56.357
-35.117,-56.35
-32.753,-56.317
-32.648,-56.293
-32.688,-56.29
-35.167,-56.283
-32.64,-56.282
-32.752,-56.28
19.07,-56.267
-12.818,-56.263
-58.983,-56.25
-70.345,-56.235
-32.352,-56.233
-30.602,-56.233
-10.14,-56.213
-160.538,-56.2
82.628,-56.2
-32.498,-56.195
-37.067,-56.192
9.588,-56.187
-154.223,-56.177
-38.633,-56.167
-156.217,-56.15
-71.917,-56.15
-8.687,-56.122
-109.725,-56.1
124.888,-56.093
-34.05,-56.092
-90.05,-56.085
-144.817,-56.083
-6.25,-56.082
-115.093,-56.073
-104.617,-56.067
-94.817,-56.067
-119.917,-56.05
-99.35,-56.05
119.9,-56.04
-41.162,-56.028
-149.817,-56.017
-135.017,-56.017
112.735,-56.013
112.715,-56.007
-134.467,-56.0
-140.2,-55.988
-22.2,-55.967
-82.75,-55.95
104.945,-55.945
-61.75,-55.933
-51.883,-55.933
-45.158,-55.933
-42.567,-55.933
105.01,-55.927
-61.6,-55.9
-51.833,-55.9
-72.975,-55.89
81.118,-55.88
-22.267,-55.867
-139.767,-55.85
-74.143,-55.773
-61.15,-55.75
-56.05,-55.733
-63.342,-55.67
-41.167,-55.658
-176.133,-55.65
-49.033,-55.633
-2.248,-55.58
-73.337,-55.557
4.637,-55.48
-119.933,-55.475
76.017,-55.468
-61.898,-55.435
-18.9,-55.367
-144.55,-55.35
-78.565,-55.307
-22.182,-55.278
-21.975,-55.273
-24.333,-55.2
-15.843,-55.198
-30.44,-55.193
-110.15,-55.192
